20190909	新闻	http://www.itsec.gov.cn/zxxw/201909/t20190906_36022.html	中国信息安全从业人员现状调研报告（2018-2019年度）	itsec.gov.cn	www.itsec.gov.cn	/zxxw/201909/t20190906_36022.html
20190909	取证分析	https://github.com/defenxor/dsiem?from=timeline	dsiem: Security event correlation engine for ELK stack	github.com	github.com	/defenxor/dsiem
20190909	Web安全	https://mp.weixin.qq.com/s/nys9M0PY_THidgD-KqzGPg	浅谈块存储的安全配置	qq.com	mp.weixin.qq.com	/s/nys9M0PY_THidgD-KqzGPg
20190909	设备安全	https://mp.weixin.qq.com/s/rT53P9EW4xLFV9JLbnLroQ	D-Link DIR-816 A2路由器安全研究分享	qq.com	mp.weixin.qq.com	/s/rT53P9EW4xLFV9JLbnLroQ
20190909	漏洞分析	https://nosec.org/home/detail/2949.html	某些型号的Comba和D-Link路由器存在管理员密码泄露漏洞	nosec.org	nosec.org	/home/detail/2949.html
20190916	Web安全	https://mp.weixin.qq.com/s/G6qdRQ3BPKrjHY5ucUiG2w	利用js文件进行渗透	qq.com	mp.weixin.qq.com	/s/G6qdRQ3BPKrjHY5ucUiG2w
20190916	Web安全	https://misakikata.github.io/2019/09/CVE-2019-10392-Jenkins-2k19%E8%AE%A4%E8%AF%81%E8%BF%9C%E7%A8%8BRCE/	CVE-2019-10392 Jenkins 2k19认证远程RCE	github.io	misakikata.github.io	/2019/09/CVE-2019-10392-Jenkins-2k19%E8%AE%A4%E8%AF%81%E8%BF%9C%E7%A8%8BRCE/
20190916	Web安全	https://xz.aliyun.com/t/6349	内网渗透之端口转发、映射、代理	aliyun.com	xz.aliyun.com	/t/6349
20190916	Web安全	https://github.com/QAX-A-Team/LuWu	LuWu: 红队基础设施自动化部署工具	github.com	github.com	/QAX-A-Team/LuWu
20190916	取证分析	https://xz.aliyun.com/t/6325	钓鱼邮件的投递和伪造	aliyun.com	xz.aliyun.com	/t/6325
20190916	杂志	https://www.sec-wiki.com/weekly/289	SecWiki周刊（第289期)	sec-wiki.com	www.sec-wiki.com	/weekly/289
20190916	取证分析	https://www.anquanke.com/post/id/186489	反间谍软件之旅（一）	anquanke.com	www.anquanke.com	/post/id/186489
20190916	取证分析	https://www.anquanke.com/post/id/187069	大型互联网企业威胁情报运营与实践思考	anquanke.com	www.anquanke.com	/post/id/187069
20190916	其它	https://mp.weixin.qq.com/s/bgWwPPjFsiviFxMgNxjUIg	SUCTF-WriteUp(上)	qq.com	mp.weixin.qq.com	/s/bgWwPPjFsiviFxMgNxjUIg
20190916	Web安全	https://www.leavesongs.com/OTHERLAN/attack-scrapy.html	攻击Scrapyd爬虫	leavesongs.com	www.leavesongs.com	/OTHERLAN/attack-scrapy.html
20190916	工具	https://github.com/dogangcr/vulnerable-sso	vulnerable-sso: vulnerable single sign on	github.com	github.com	/dogangcr/vulnerable-sso
20190916	恶意分析	https://blog.trendmicro.com/trendlabs-security-intelligence/purple-fox-fileless-malware-with-rookit-component-delivered-by-rig-exploit-kit-now-abuses-powershell/	purple-fox-fileless-malware-with-rookit-component-delivered-by-rig-exploit-kit-n	trendmicro.com	blog.trendmicro.com	/trendlabs-security-intelligence/purple-fox-fileless-malware-with-rookit-component-delivered-by-rig-exploit-kit-now-abuses-powershell/
20190916	其它	https://mp.weixin.qq.com/s/NtOgVw0uFXndJ7b1-G-0iw	SUCTF-WriteUp(下)	qq.com	mp.weixin.qq.com	/s/NtOgVw0uFXndJ7b1-G-0iw
20190916	恶意分析	https://blog.trendmicro.com/trendlabs-security-intelligence/malware-classification-with-graph-hash-applied-to-the-orca-cyberespionage-campaign/	Malware Classification with ‘Graph Hash,’ Applied to the Orca Cyberespionage Cam	trendmicro.com	blog.trendmicro.com	/trendlabs-security-intelligence/malware-classification-with-graph-hash-applied-to-the-orca-cyberespionage-campaign/
20190916	工具	https://github.com/gnebbia/pdlist	pdlist: A passive subdomain finder	github.com	github.com	/gnebbia/pdlist
20190916	其它	http://www.hexacorn.com/blog/2019/09/07/beyond-good-ol-run-key-part-114/	beyond-good-ol-run-key-part-114(AutoPlay利用)	hexacorn.com	www.hexacorn.com	/blog/2019/09/07/beyond-good-ol-run-key-part-114/
20190916	其它	https://www.namebase.io/blog/meet-handshake-decentralizing-dns-to-improve-the-security-of-the-internet/	Decentralizing DNS to Improve the Security of the Internet	namebase.io	www.namebase.io	/blog/meet-handshake-decentralizing-dns-to-improve-the-security-of-the-internet/
20190916	工具	https://hausec.com/2019/09/09/bloodhound-cypher-cheatsheet/	Bloodhound Cypher Cheatsheet	hausec.com	hausec.com	/2019/09/09/bloodhound-cypher-cheatsheet/
20190916	Web安全	https://research.securitum.com/server-side-template-injection-on-the-example-of-pebble/	Server Side Template Injection – on the example of Pebble	securitum.com	research.securitum.com	/server-side-template-injection-on-the-example-of-pebble/
