20190805	法规	http://www.cac.gov.cn/2019-08/08/c_1124853418.htm	信息安全技术 移动互联网应用（App）收集个人信息基本规范（草案）	cac.gov.cn	www.cac.gov.cn	/2019-08/08/c_1124853418.htm
20190805	Web安全	https://nullsweep.com/http-security-headers-a-complete-guide/	HTTP Security Headers - A Complete Guide	nullsweep.com	nullsweep.com	/http-security-headers-a-complete-guide/
20190805	设备安全	https://www.anquanke.com/post/id/183326	分析Belkin SURF路由器中的多个漏洞	anquanke.com	www.anquanke.com	/post/id/183326
20190805	漏洞分析	https://anhkgg.com/wechat-pc-study-technical-article-sets/	微信逆向分析相关研究技术文章收集	anhkgg.com	anhkgg.com	/wechat-pc-study-technical-article-sets/
20190805	设备安全	https://www.freebuf.com/vuls/208779.html	一个工控漏洞引发的思考（续）	freebuf.com	www.freebuf.com	/vuls/208779.html
20190805	Web安全	https://www.freebuf.com/articles/network/210027.html	HTTPS劫持研究	freebuf.com	www.freebuf.com	/articles/network/210027.html
20190805	Web安全	https://github.com/zer0yu/Berserker	Berserker-针对Pentest或者CTF的一个fuzz payload项目	github.com	github.com	/zer0yu/Berserker
20190805	其它	https://mp.weixin.qq.com/s/6_cEwkqFX-oeuLk6thZUcQ	​利用无人机通过激光与物理隔离设备建立隐蔽信道	qq.com	mp.weixin.qq.com	/s/6_cEwkqFX-oeuLk6thZUcQ
20190805	杂志	https://www.sec-wiki.com/weekly/283	SecWiki周刊（第283期)	sec-wiki.com	www.sec-wiki.com	/weekly/283
20190805	编程技术	https://mp.weixin.qq.com/s/wna8pBu1s_jNI8kDeBGEwA	一次美丽的误会引发对函数调用保护的思考	qq.com	mp.weixin.qq.com	/s/wna8pBu1s_jNI8kDeBGEwA
20190805	设备安全	https://medium.com/cruise/firmware-security-fwanalyzer-dcbd95cef717	Automating Firmware Security with FwAnalyzer	medium.com	medium.com	/cruise/firmware-security-fwanalyzer-dcbd95cef717
20190805	漏洞分析	https://www.anquanke.com/post/id/183330	Fuzz闭源的PDF阅读器	anquanke.com	www.anquanke.com	/post/id/183330
20190805	Web安全	https://xz.aliyun.com/t/5887	CobaltStrike插件开发官方指南 Part1	aliyun.com	xz.aliyun.com	/t/5887
20190805	漏洞分析	https://a13xp0p0v.github.io/2019/08/10/cfu.html	Case study: Searching for a vulnerability pattern in the Linux kernel	github.io	a13xp0p0v.github.io	/2019/08/10/cfu.html
20190805	漏洞分析	http://blog.orange.tw/2019/08/attacking-ssl-vpn-part-2-breaking-the-fortigate-ssl-vpn.html	Attacking SSL VPN - Part 2: Breaking the Fortigate SSL VPN	orange.tw	blog.orange.tw	/2019/08/attacking-ssl-vpn-part-2-breaking-the-fortigate-ssl-vpn.html
20190805	漏洞分析	https://labs.bluefrostsecurity.de/blog/2019/08/08/escaping-the-chrome-sandbox-via-an-indexeddb-race-condition/	Escaping the Chrome Sandbox via an IndexedDB Race Condition	bluefrostsecurity.de	labs.bluefrostsecurity.de	/blog/2019/08/08/escaping-the-chrome-sandbox-via-an-indexeddb-race-condition/
20190805	恶意分析	https://github.com/NotMedic/rdp-tunnel	rdp-tunnel: Pre-compiled tools to tunnel TCP over RDP Connections	github.com	github.com	/NotMedic/rdp-tunnel
20190805	设备安全	https://xz.aliyun.com/t/5884	SURF路由器安全漏洞研究	aliyun.com	xz.aliyun.com	/t/5884
20190805	工具	https://github.com/Ch1ngg/AggressorScript-CreateCloneHiddenAccount	AggressorScript-CreateCloneHiddenAccount	github.com	github.com	/Ch1ngg/AggressorScript-CreateCloneHiddenAccount
20190805	Web安全	https://xz.aliyun.com/t/5892	CobaltStrike插件开发官方指南 Part2	aliyun.com	xz.aliyun.com	/t/5892
